Code,Description1,Description2,Last_Updated
E1830002004,material,,09-09-2025
E1831001003,"Static progressive stretch toe device, extension and/or flexion, with or        Static str toe dev ext/flex 3",Static str toe dev ext/flex 36      A,09-09-2025
E1831002004,"without range of motion adjustment, includes all components and accessories",,09-09-2025
E1832001003,"Static progressive stretch finger device, extension and/or flexion, with or     Sps finger device           3",Sps finger device           36      A,09-09-2025
E1832002004,"without range of motion adjustment, includes all components and accessories",,09-09-2025
E1840001003,"Dynamic adjustable shoulder flexion / abduction / rotation device, includes     Adj shoulder ext/flex device3",Adj shoulder ext/flex device36      A,09-09-2025
E1840002004,soft interface material,,09-09-2025
E1841001003,"Static progressive stretch/patient actualized serial stretch shoulder device,   Sps/pass shoulder device    3",Sps/pass shoulder device    36      A,09-09-2025
E1841002004,"with or without range of motion adjustment, includes all components and",,09-09-2025
E1841003004,accessories,,09-09-2025
E1902001003,"Communication board, non-electronic augmentative or alternative communication   Aac non-electronic board    0",Aac non-electronic board    00      9,09-09-2025
E1902002004,device,,09-09-2025
E1905001003,"Virtual reality cognitive behavioral therapy device (cbt), including            Vr cbt therapy              3",Vr cbt therapy              36      A,09-09-2025
E1905002004,pre-programmed therapy software,,09-09-2025
E2000001003,"Gastric suction pump, home model, portable or stationary, electric              Gastric suction pump hme mdl3",Gastric suction pump hme mdl36      A,09-09-2025
E2001001003,"Suction pump, home model, portable or stationary, electric, any type, for use   Suct pum ext mgmt sys       3",Suct pum ext mgmt sys       36      A,09-09-2025
E2001002004,with external urine and/or fecal management system,,09-09-2025
E2100001003,Blood glucose monitor with integrated voice synthesizer                         Bld glucose monitor w voice 3,Bld glucose monitor w voice 32      A60-11,09-09-2025
E2101001003,Blood glucose monitor with integrated lancing/blood sample                      Bld glucose monitor w lance 3,Bld glucose monitor w lance 32      A60-11,09-09-2025
E2102001003,"Adjunctive, non-implanted continuous glucose monitor or receiver                Adju cgm receiver/monitor   3",Adju cgm receiver/monitor   32      A,09-09-2025
E2103001003,"Non-adjunctive, non-implanted continuous glucose monitor or receiver            Non-adju cgm receiver/mon   3",Non-adju cgm receiver/mon   32      A,09-09-2025
E2104001003,Home blood glucose monitor for use with integrated lancing/blood sample testing Glucose monitor w cartridge 3,Glucose monitor w cartridge 32      A60-11,09-09-2025
E2104002004,cartridge,,09-09-2025
E2120001003,Pulse generator system for tympanic treatment of inner ear endolymphatic fluid  Pulse gen sys tx endolymp fl3,Pulse gen sys tx endolymp fl36      A,09-09-2025
E2201001003,"Manual wheelchair accessory, nonstandard seat frame, width greater than or      Man w/ch acc seat w>=20""<24""3","Man w/ch acc seat w>=20""<24""32      A",09-09-2025
E2201002004,equal to 20 inches and less than 24 inches,,09-09-2025
E2202001003,"Manual wheelchair accessory, nonstandard seat frame width, 24-27 inches         Seat width 24-27 in         3",Seat width 24-27 in         32      A,09-09-2025
E2203001003,"Manual wheelchair accessory, nonstandard seat frame depth, 20 to less than 22   Frame depth less than 22 in 3",Frame depth less than 22 in 32      A,09-09-2025
E2203002004,inches,,09-09-2025
E2204001003,"Manual wheelchair accessory, nonstandard seat frame depth, 22 to 25 inches      Frame depth 22 to 25 in     3",Frame depth 22 to 25 in     32      A,09-09-2025
E2205001003,"Manual wheelchair accessory, handrim without projections (includes ergonomic or Manual wc accessory, handrim3","Manual wc accessory, handrim32      A",09-09-2025
E2205002004,"contoured), any type, replacement only, each",,09-09-2025
E2206001003,"Manual wheelchair accessory, wheel lock assembly, complete, replacement only,   Man wc whl lock comp repl ea3",Man wc whl lock comp repl ea32      A,09-09-2025
E2206002004,each,,09-09-2025
E2207001003,"Wheelchair accessory, crutch and cane holder, each                              Crutch and cane holder      3",Crutch and cane holder      32      A,09-09-2025
E2208001003,"Wheelchair accessory, cylinder tank carrier, each                               Cylinder tank carrier       3",Cylinder tank carrier       32      A,09-09-2025
E2209001003,"Accessory, arm trough, with or without hand support, each                       Arm trough each             3",Arm trough each             32      A,09-09-2025
E2210001003,"Wheelchair accessory, bearings, any type, replacement only, each                Wheelchair bearings         3",Wheelchair bearings         32      A,09-09-2025
E2211001003,"Manual wheelchair accessory, pneumatic propulsion tire, any size, each          Pneumatic propulsion tire   3",Pneumatic propulsion tire   32      A,09-09-2025
E2212001003,"Manual wheelchair accessory, tube for pneumatic propulsion tire, any size, each Pneumatic prop tire tube    3",Pneumatic prop tire tube    32      A,09-09-2025
E2213001003,"Manual wheelchair accessory, insert for pneumatic propulsion tire (removable),  Pneumatic prop tire insert  3",Pneumatic prop tire insert  32      A,09-09-2025
E2213002004,"any type, any size, each",,09-09-2025
E2214001003,"Manual wheelchair accessory, pneumatic caster tire, any size, each              Pneumatic caster tire each  3",Pneumatic caster tire each  32      A,09-09-2025
E2215001003,"Manual wheelchair accessory, tube for pneumatic caster tire, any size, each     Pneumatic caster tire tube  3",Pneumatic caster tire tube  32      A,09-09-2025
E2216001003,"Manual wheelchair accessory, foam filled propulsion tire, any size, each        Foam filled propulsion tire 3",Foam filled propulsion tire 32      A,09-09-2025
E2217001003,"Manual wheelchair accessory, foam filled caster tire, any size, each            Foam filled caster tire each3",Foam filled caster tire each32      A,09-09-2025
E2218001003,"Manual wheelchair accessory, foam propulsion tire, any size, each               Foam propulsion tire each   3",Foam propulsion tire each   32      A,09-09-2025
E2219001003,"Manual wheelchair accessory, foam caster tire, any size, each                   Foam caster tire any size ea3",Foam caster tire any size ea32      A,09-09-2025
E2220001003,"Manual wheelchair accessory, solid (rubber/plastic) propulsion tire, any size,  Solid propuls tire, repl, ea3","Solid propuls tire, repl, ea32      A",09-09-2025
E2220002004,"replacement only, each",,09-09-2025
E2221001003,"Manual wheelchair accessory, solid (rubber/plastic) caster tire (removable),    Solid caster tire repl, each3","Solid caster tire repl, each32      A",09-09-2025
E2221002004,"any size, replacement only, each",,09-09-2025
E2222001003,"Manual wheelchair accessory, solid (rubber/plastic) caster tire with integrated Solid caster integ whl, repl3","Solid caster integ whl, repl32      A",09-09-2025
E2222002004,"wheel, any size, replacement only, each",,09-09-2025
E2224001003,"Manual wheelchair accessory, propulsion wheel excludes tire, any size,          Propulsion whl excl tire rep3",Propulsion whl excl tire rep32      A,09-09-2025
E2224002004,"replacement only, each",,09-09-2025
E2225001003,"Manual wheelchair accessory, caster wheel excludes tire, any size, replacement  Caster wheel excludes tire  3",Caster wheel excludes tire  32      A,09-09-2025
E2225002004,"only, each",,09-09-2025
E2226001003,"Manual wheelchair accessory, caster fork, any size, replacement only, each      Caster fork replacement only3",Caster fork replacement only32      A,09-09-2025
E2227001003,"Manual wheelchair accessory, gear reduction drive wheel, each                   Gear reduction drive wheel  3",Gear reduction drive wheel  36      A,09-09-2025
E2228001003,"Manual wheelchair accessory, wheel braking system and lock, complete, each      Mwc acc, wheelchair brake   3","Mwc acc, wheelchair brake   36      A",09-09-2025
E2230001003,"Manual wheelchair accessory, manual standing system                             Manual standing system      0",Manual standing system      00      9,09-09-2025
E2231001003,"Manual wheelchair accessory, solid seat support base (replaces sling seat),     Solid seat support base     3",Solid seat support base     32      A,09-09-2025
E2231002004,includes any type mounting hardware,,09-09-2025
E2291001003,"Back, planar, for pediatric size wheelchair including fixed attaching hardware  Planar back for ped size wc 3",Planar back for ped size wc 32      A,09-09-2025
E2292001003,"Seat, planar, for pediatric size wheelchair including fixed attaching hardware  Planar seat for ped size wc 3",Planar seat for ped size wc 32      A,09-09-2025
E2293001003,"Back, contoured, for pediatric size wheelchair including fixed attaching        Contour back for ped size wc3",Contour back for ped size wc32      A,09-09-2025
E2293002004,hardware,,09-09-2025
E2294001003,"Seat, contoured, for pediatric size wheelchair including fixed attaching        Contour seat for ped size wc3",Contour seat for ped size wc32      A,09-09-2025
E2294002004,hardware,,09-09-2025
E2295001003,"Manual wheelchair accessory, for pediatric size wheelchair, dynamic seating     Ped dynamic seating frame   3",Ped dynamic seating frame   32      A,09-09-2025
E2295002004,"frame, allows coordinated movement of multiple positioning features",,09-09-2025
E2298001003,"Complex rehabilitative power wheelchair accessory, power seat elevation system, Pwr seat elev sys for crt   3",Pwr seat elev sys for crt   36      A,09-09-2025
E2298002004,any type,,09-09-2025
E2300001003,"Wheelchair accessory, power seat elevation system, any type                     Pwr seat elevation sys      3",Pwr seat elevation sys      32      A,09-09-2025
E2301001003,"Wheelchair accessory, power standing system, any type                           Pwr standing                0",Pwr standing                00      9,09-09-2025
E2310001003,"Power wheelchair accessory, electronic connection between wheelchair controller Electro connect btw control 3",Electro connect btw control 36      A,09-09-2025
E2310002004,"and one power seating system motor, including all related electronics,",,09-09-2025
E2310003004,"indicator feature, mechanical function selection switch, and fixed mounting",,09-09-2025
